PE-MC-RS485-S_V1.1.2
2018.10.10.

1. 위치, 속도제어
ID0, 0도, 5RPM: FFFE0007C5010000000032
ID0, 0도, 10RPM: FFFE000793010000000064
ID0, 0도, 15RPM: FFFE000761010000000096
ID0, 0도, 25RPM: FFFE0007FD0100000000FA
ID0, 0도, 100RPM: FFFE00070C0100000003E8
ID0, +0.12도, 1RPM: FFFE0007E10100000C000A
ID0, +0.13도, 1RPM: FFFE0007E00100000D000A
ID0, +0.2도, 1RPM: FFFE0007D901000014000A
ID0, +0.2도, 25RPM: FFFE0007E90100001400FA
ID0, +0.5도, 1RPM: FFFE0007BB01000032000A
ID0, +1도, 1RPM: FFFE00078901000064000A
ID0, +2도, 1RPM: FFFE00077F010000640014
ID0, +3도, 1RPM: FFFE00077501000064001E
ID0, +5도, 1RPM: FFFE0007F8010001F4000A
ID0, +6도, 1RPM: FFFE00079301000258000A
ID0, +30도, 100RPM: FFFE00074901000BB803E8
ID0, +90도, 0.1RPM: FFFE0007AB010023280001
ID0, +90도, 0.5RPM: FFFE0007A7010023280005
ID0, +90도, 1RPM: FFFE0007A201002328000A
ID0, +90도, 2RPM: FFFE000798010023280014
ID0, +90도, 3RPM: FFFE00078E01002328001E
ID0, +90도, 5RPM: FFFE00077A010023280032
ID0, +90도, 50RPM: FFFE0007E40100232800C8
ID0, +90도, 3000RPM: FFFE000707010023287530
ID0, +180도, 5RPM: FFFE00072F010046500032
ID0, +180도, 100RPM: FFFE0007760100465003E8
ID0, +360도, 0RPM: FFFE0007CB01008CA00000
ID0, +360도, 0.1RPM: FFFE0007CA01008CA00001
ID0, +360도, 1RPM: FFFE0007C101008CA0000A
ID0, +360도, 2RPM: FFFE0007B701008CA00014
ID0, +360도, 6RPM: FFFE00078F01008CA0003C
ID0, +360도, 10RPM: FFFE00076701008CA00064
ID0, +360도, 20RPM: FFFE00070301008CA000C8
ID0, +360도, 60RPM: FFFE00077101008CA00258
ID0, +360도, 100RPM: FFFE0007E001008CA003E8
ID0, +360도, 500RPM: FFFE00073001008CA01388
ID0, +360도, 1000RPM: FFFE00079401008CA02710
ID0, +360도, 2000RPM: FFFE00075D01008CA04E20
ID0, +360도, 3000RPM: FFFE00072601008CA07530
ID0, +655.33도, 50RPM: FFFE0007330100FFFD00C8
ID0, +655.33도, 100RPM: FFFE0007100100FFFD03E8
ID0, +655.33도, 120RPM: FFFE0007470100FFFD04B0
ID0, +655.33도, 150RPM: FFFE00071A0100FFFD05DC
ID0, +655.33도, 200RPM: FFFE0007240100FFFD07D0
ID0, +655.33도, 300RPM: FFFE0007380100FFFD0BB8
ID0, +655.33도, 400RPM: FFFE00074C0100FFFD0FA0
ID0, +655.33도, 6553.3RPM: FFFE0007FF0100FFFDFFFD
ID0, +655.33도, 6553.4RPM: FFFE0007FE0100FFFDFFFE
ID0, +655.33도, 6553.5RPM: FFFE0007FE0100FFFDFFFF
ID0, +655.34도, 6553.3RPM: FFFE0007FE0100FFFEFFFD
ID0, +655.35도, 6553.3RPM: FFFE0007FD0100FFFFFFFD
ID0, -0.12도, 1RPM: FFFE0007E00101000C000A
ID0, -0.13도, 1RPM: FFFE0007DF0101000D000A
ID0, -0.2도, 1RPM: FFFE0007D801010014000A
ID0, -0.2도, 25RPM: FFFE0007E80101001400FA
ID0, -0.5도, 1RPM: FFFE0007BA01010032000A
ID0, -1도, 1RPM: FFFE00078801010064000A
ID0, -2도, 1RPM: FFFE00077E010100640014
ID0, -3도, 1RPM: FFFE00077401010064001E
ID0, -5도, 1RPM: FFFE0007F7010101F4000A
ID0, -6도, 1RPM: FFFE00079201010258000A
ID0, -30도, 100RPM: FFFE00074801010BB803E8
ID0, -90도, 0.1RPM: FFFE0007AA010123280001
ID0, -90도, 0.5RPM: FFFE0007A6010123280005
ID0, -90도, 1RPM: FFFE0007A101012328000A
ID0, -90도, 2RPM: FFFE000797010123280014
ID0, -90도, 3RPM: FFFE00078D01012328001E
ID0, -90도, 5RPM: FFFE000779010123280032
ID0, -90도, 3000RPM: FFFE000706010123287530
ID0, -180도, 5RPM: FFFE00072E010146500032
ID0, -180도, 100RPM: FFFE0007750101465003E8
ID0, -360도, 0RPM: FFFE0007CA01018CA00000
ID0, -360도, 0.1RPM: FFFE0007C901018CA00001
ID0, -360도, 1RPM: FFFE0007C001018CA0000A
ID0, -360도, 2RPM: FFFE0007B601018CA00014
ID0, -360도, 6RPM: FFFE00078E01018CA0003C
